DATE,TMAX,TMIN,PRCP,SNOW,SNWD,QC_FLAG
2001-01-01,58,45,,,,M
2001-01-02,63,34,0.01,,,M
2001-01-03,95,81,0.01,0.05,,E
2001-01-04,65,48,0.13,,,M
2001-01-05,36,12,0.03,,,E
2001-01-06,49,27,0.0,,,X
2001-01-07,73,51,0.04,0.09,,M
2001-01-08,93,74,0.2,,,X
2001-01-09,93,85,0.1,,,X
2001-01-10,30,19,,,1,E
2001-01-11,60,32,0.08,,,X
2001-01-12,36,21,0.09,,,M
2001-01-13,100,72,0.01,,,M
2001-01-14,96,80,0.09,,,
2001-01-15,57,36,0.11,,,E
2001-01-16,72,43,0.21,,,E
2001-01-17,70,61,0.14,,,E
2001-01-18,88,61,0.4,,,M
2001-01-19,70,50,,,,X
2001-01-20,81,52,0.0,,,E
2001-01-21,61,56,0.29,,,M
2001-01-22,81,60,0.15,,,
2001-01-23,40,21,0.12,,,E
2001-01-24,58,40,0.02,,,E
2001-01-25,49,22,0.15,,,
2001-01-26,33,26,0.07,,,X
2001-01-27,81,57,0.23,,,M
2001-01-28,83,71,0.08,,,X
2001-01-29,44,31,0.03,,4,M
2001-01-30,75,53,0.09,,,E
2001-01-31,60,55,0.07,,,X
2001-02-01,44,24,0.13,,,E
2001-02-02,98,71,0.03,,0,X
2001-02-03,60,38,,,,X
2001-02-04,89,76,0.1,,,M
2001-02-05,87,82,0.13,,,M
2001-02-06,34,29,,,,E
2001-02-07,108,92,0.06,,,M
2001-02-08,51,31,0.05,,,E
2001-02-09,99,92,0.09,,,M
2001-02-10,91,79,0.34,,,E
2001-02-11,103,78,0.01,,,M
2001-02-12,69,60,,,,X
2001-02-13,34,21,,,,E
2001-02-14,94,88,0.04,,,M
2001-02-15,99,89,0.33,,,X
2001-02-16,84,61,0.05,,,M
2001-02-17,108,96,0.31,,,X
2001-02-18,45,38,,,,X
2001-02-19,56,42,0.17,,,X
2001-02-20,108,84,0.02,0.02,,M
2001-02-21,73,63,0.24,,,X
2001-02-22,92,76,0.27,,,M
2001-02-23,99,76,0.02,,,M
2001-02-24,60,50,,,,E
2001-02-25,54,47,0.1,,,X
2001-02-26,46,22,0.03,,,X
2001-02-27,66,41,0.09,,,E
2001-02-28,49,29,0.06,,,E
2001-03-01,45,33,0.02,,,X
2001-03-02,54,38,0.26,,,E
2001-03-03,66,59,0.12,,,M
2001-03-04,107,86,0.05,,,M
2001-03-05,86,63,0.03,,,E
2001-03-06,50,36,0.0,,,X
2001-03-07,43,31,0.01,,,E
2001-03-08,55,41,0.38,,,
2001-03-09,101,76,,,,M
2001-03-10,63,44,0.0,,,E
2001-03-11,50,36,0.04,,,E
2001-03-12,107,97,0.05,,,M
2001-03-13,69,48,0.23,,,X
2001-03-14,63,56,0.22,,,E
2001-03-15,61,53,0.0,,,X
2001-03-16,59,33,0.01,,,M
2001-03-17,55,28,0.21,,,X
2001-03-18,47,37,0.03,,,X
2001-03-19,98,90,0.11,,,M
2001-03-20,46,35,0.14,,,X
2001-03-21,50,36,0.12,0.1,,M
2001-03-22,67,46,0.01,,,M
2001-03-23,61,43,0.04,,,X
2001-03-24,96,73,0.0,,,M
2001-03-25,84,58,0.03,,,E
2001-03-26,61,35,0.2,,,M
2001-03-27,76,64,0.27,,,M
2001-03-28,101,80,0.0,,,M
2001-03-29,64,50,0.16,,,E
2001-03-30,71,57,0.01,,,E
2001-03-31,72,53,0.01,,,X
2001-04-01,84,69,0.05,,,X
2001-04-02,98,91,0.01,,,X
2001-04-03,92,81,0.15,,,X
2001-04-04,52,47,0.05,,,E
2001-04-05,31,15,0.02,,,X
2001-04-06,71,43,0.45,0.02,,M
2001-04-07,108,86,0.01,,,X
2001-04-08,41,15,0.0,,,M
2001-04-09,69,64,0.31,,,M
2001-04-10,96,71,0.11,,,X
2001-04-11,49,28,0.08,,,X
2001-04-12,65,54,0.09,,,E
2001-04-13,94,81,0.07,,,E
2001-04-14,102,94,0.24,0.08,,X
2001-04-15,37,18,0.01,0.01,,M
2001-04-16,104,91,0.03,,0,M
2001-04-17,84,63,0.07,,,E
2001-04-18,34,27,0.08,0.03,,X
2001-04-19,75,53,0.18,,,X
2001-04-20,109,99,0.0,0.02,,E
2001-04-21,54,45,0.03,0.0,,E
2001-04-22,80,64,0.02,,,X
2001-04-23,35,10,0.02,,,E
2001-04-24,104,80,0.03,,,X
2001-04-25,76,51,,,,M
2001-04-26,94,72,0.01,,,X
2001-04-27,68,42,0.09,,,E
2001-04-28,84,75,0.0,,,M
2001-04-29,63,34,0.07,,,M
2001-04-30,47,33,0.0,,,E
2001-05-01,82,63,0.02,,,M
2001-05-02,91,65,0.02,,,E
2001-05-03,70,45,0.27,,,M
2001-05-04,97,83,0.0,,,E
2001-05-05,90,68,0.05,,,X
2001-05-06,94,65,0.17,,,M
2001-05-07,74,55,0.34,,,M
2001-05-08,41,29,0.11,,0,X
2001-05-09,46,34,0.07,,,E
2001-05-10,33,25,0.07,,,X
2001-05-11,77,52,0.03,,,M
2001-05-12,50,21,0.1,,,X
2001-05-13,89,76,0.04,,,E
2001-05-14,68,59,0.08,,,E
2001-05-15,39,33,0.33,,,E
2001-05-16,60,46,0.02,,3,X
2001-05-17,109,92,0.12,,,X
2001-05-18,53,34,0.01,,,M
2001-05-19,45,30,,,,X
2001-05-20,70,42,0.1,0.02,,M
2001-05-21,101,96,0.01,,,X
2001-05-22,78,64,0.18,,,M
2001-05-23,81,64,0.01,,,E
2001-05-24,57,52,0.13,,,E
2001-05-25,35,11,0.0,,,E
2001-05-26,96,76,0.15,,,M
2001-05-27,38,15,0.53,,,M
2001-05-28,68,48,0.02,,,M
2001-05-29,68,46,0.28,,,M
2001-05-30,82,66,0.01,0.04,,E
2001-05-31,76,58,0.11,,,M
2001-06-01,91,63,0.17,,,M
2001-06-02,95,71,0.01,,,M
2001-06-03,72,65,0.0,,,X
2001-06-04,91,82,0.04,,,M
2001-06-05,71,48,0.09,,,X
2001-06-06,71,51,0.15,,,M
2001-06-07,90,67,,,,E
2001-06-08,54,36,0.14,,,X
2001-06-09,37,8,0.04,,,M
2001-06-10,51,31,0.12,,3,E
2001-06-11,44,38,0.06,,,M
2001-06-12,56,27,0.07,,,E
2001-06-13,81,59,0.18,,,M
2001-06-14,49,23,0.01,,0,X
2001-06-15,88,83,0.04,0.01,,E
2001-06-16,41,14,0.18,,,X
2001-06-17,105,86,0.0,,,M
2001-06-18,56,37,0.08,,,M
2001-06-19,43,28,0.14,,,E
2001-06-20,94,68,0.17,,,X
2001-06-21,47,40,0.09,,,M
2001-06-22,91,82,0.29,,,X
2001-06-23,42,31,0.13,,,X
2001-06-24,76,57,0.31,,1,M
2001-06-25,35,30,0.49,,,E
2001-06-26,77,52,0.14,,,E
2001-06-27,60,47,0.02,,,X
2001-06-28,44,35,0.02,,,E
2001-06-29,36,31,0.21,,,M
2001-06-30,51,30,0.02,,,X
2001-07-01,53,37,0.09,,,E
2001-07-02,63,45,0.02,,,M
2001-07-03,55,29,0.15,,,X
2001-07-04,32,26,0.14,,,X
2001-07-05,37,31,0.02,,,
2001-07-06,76,54,0.14,,,M
2001-07-07,58,40,0.04,,,E
2001-07-08,89,78,0.16,,,X
2001-07-09,47,19,0.05,,,M
2001-07-10,61,32,0.04,,1,X
2001-07-11,84,71,0.22,,,X
2001-07-12,68,40,0.02,,,E
2001-07-13,41,19,0.09,,,M
2001-07-14,58,34,0.12,,,E
2001-07-15,68,48,,,,X
