DATE,TMAX,TMIN,PRCP,SNOW,SNWD,QC_FLAG
2002-01-01,107,88,0.03,,,E
2002-01-02,34,26,0.02,,,M
2002-01-03,69,40,0.1,,,E
2002-01-04,46,22,0.07,,3,E
2002-01-05,38,9,0.08,,,M
2002-01-06,43,33,0.13,,,E
2002-01-07,86,73,0.18,,,E
2002-01-08,56,43,0.02,,,X
2002-01-09,49,33,0.03,,,X
2002-01-10,44,35,0.0,,,M
2002-01-11,93,77,0.0,,,M
2002-01-12,50,26,0.03,,,X
2002-01-13,88,60,0.0,,,X
2002-01-14,102,76,0.09,,,X
2002-01-15,86,64,0.12,,,X
2002-01-16,38,27,0.24,0.0,,E
2002-01-17,106,87,,,,M
2002-01-18,97,85,0.05,,,X
2002-01-19,72,49,0.02,,,E
2002-01-20,37,11,0.06,0.1,,X
2002-01-21,50,33,0.09,,,E
2002-01-22,61,36,0.07,,,X
2002-01-23,77,59,0.15,,,M
2002-01-24,58,39,0.05,,3,E
2002-01-25,91,63,0.09,,,E
2002-01-26,30,5,0.2,,,E
2002-01-27,100,85,0.25,,,E
2002-01-28,55,35,0.08,,,E
2002-01-29,102,84,0.04,,,X
2002-01-30,54,48,0.03,,,M
2002-01-31,45,29,0.2,,,E
2002-02-01,58,29,0.28,,,X
2002-02-02,100,90,0.14,,,M
2002-02-03,31,16,0.04,,0,M
2002-02-04,30,2,0.01,,,X
2002-02-05,92,63,0.06,,,E
2002-02-06,62,54,0.0,,,M
2002-02-07,103,93,,,,M
2002-02-08,90,71,0.02,,,E
2002-02-09,35,15,0.03,,,X
2002-02-10,39,21,0.02,0.09,,M
2002-02-11,105,80,0.1,,,E
2002-02-12,89,81,0.02,,,
2002-02-13,53,42,0.14,,,X
2002-02-14,66,48,0.03,0.0,,E
2002-02-15,105,93,0.22,,,M
2002-02-16,103,88,0.22,,1,E
2002-02-17,41,35,,,,X
2002-02-18,105,90,0.12,,,M
2002-02-19,62,48,0.01,,,E
2002-02-20,45,23,0.01,,,M
2002-02-21,97,72,0.13,,,X
2002-02-22,78,67,0.06,0.01,,M
2002-02-23,53,42,0.09,,,M
2002-02-24,33,25,0.01,,,E
2002-02-25,59,32,,,,M
2002-02-26,56,44,,,,M
2002-02-27,107,94,0.07,0.07,,E
2002-02-28,66,45,0.23,,,E
2002-03-01,68,46,0.1,,,M
2002-03-02,71,50,0.09,,,X
2002-03-03,93,68,0.04,,,E
2002-03-04,93,67,0.03,,,E
2002-03-05,40,29,0.02,,,E
2002-03-06,81,73,0.02,,,X
2002-03-07,63,35,0.26,,,M
2002-03-08,81,66,0.12,,,M
2002-03-09,62,35,0.24,,,X
2002-03-10,80,71,0.04,0.0,,E
2002-03-11,96,84,0.19,,,M
2002-03-12,69,46,,0.04,,X
2002-03-13,71,56,0.02,0.04,,E
2002-03-14,50,44,0.02,,,X
2002-03-15,103,95,0.08,,,E
2002-03-16,83,62,,,,E
2002-03-17,68,63,0.26,,,X
2002-03-18,45,23,0.04,,,M
2002-03-19,56,29,,,,X
2002-03-20,76,64,0.01,,,E
2002-03-21,66,57,0.12,,,E
2002-03-22,100,92,0.13,,,
2002-03-23,57,45,0.23,,,E
2002-03-24,74,53,0.04,,,E
2002-03-25,60,34,0.03,,,M
2002-03-26,35,10,0.06,,,X
2002-03-27,49,31,0.28,,,E
2002-03-28,49,42,0.06,,,X
2002-03-29,99,83,0.01,,,E
2002-03-30,49,37,0.08,0.0,,X
2002-03-31,109,86,0.07,,,M
2002-04-01,71,58,0.24,,,X
2002-04-02,103,74,0.05,,,M
2002-04-03,107,97,0.15,,,M
2002-04-04,47,41,0.11,,,M
2002-04-05,93,75,0.09,,,E
2002-04-06,56,31,0.23,,,E
2002-04-07,75,48,0.11,,,E
2002-04-08,39,21,,,,X
2002-04-09,37,22,0.0,,,X
2002-04-10,46,27,0.48,,,M
2002-04-11,37,25,0.11,,,M
2002-04-12,59,43,0.22,,,E
2002-04-13,54,27,0.05,,,X
2002-04-14,47,21,0.0,,,X
2002-04-15,52,29,0.04,,,X
2002-04-16,37,14,0.1,,,E
2002-04-17,30,10,0.04,,,M
2002-04-18,42,16,0.0,,,M
2002-04-19,80,53,0.24,,,M
2002-04-20,74,66,0.13,,,E
2002-04-21,71,48,0.03,,,M
2002-04-22,88,62,0.01,,,X
2002-04-23,79,59,0.2,0.04,,X
2002-04-24,98,81,0.09,,,E
2002-04-25,55,47,0.02,,,M
2002-04-26,43,35,0.24,,,X
2002-04-27,72,57,0.03,,,X
2002-04-28,90,72,0.02,,,X
2002-04-29,43,20,,,,X
2002-04-30,56,50,0.19,,,M
2002-05-01,35,25,0.02,,3,X
2002-05-02,101,89,0.12,,,X
2002-05-03,58,46,0.06,,,E
2002-05-04,102,89,0.05,,,X
2002-05-05,72,63,0.1,,,X
2002-05-06,64,52,0.19,0.21,,X
2002-05-07,49,42,0.15,,,X
2002-05-08,89,73,0.0,0.02,,E
2002-05-09,85,72,0.14,,,M
2002-05-10,88,82,0.01,,,M
2002-05-11,100,87,0.09,,,E
2002-05-12,109,103,0.03,,,M
2002-05-13,81,70,0.0,,,X
2002-05-14,56,34,0.0,,,X
2002-05-15,107,82,0.04,,,E
2002-05-16,62,38,0.05,,,M
2002-05-17,68,41,0.05,,,E
2002-05-18,30,12,0.06,,3,E
2002-05-19,87,69,0.04,,,X
2002-05-20,34,24,0.08,,1,X
2002-05-21,50,39,0.03,,,X
2002-05-22,45,26,0.03,,,X
2002-05-23,44,22,0.03,,,M
2002-05-24,106,101,0.07,,,M
2002-05-25,109,89,,,,X
2002-05-26,94,70,,,,M
2002-05-27,38,24,0.08,,,E
2002-05-28,108,89,0.03,,,E
2002-05-29,42,35,0.08,,,M
2002-05-30,73,63,0.04,,,
2002-05-31,71,48,0.08,,,X
2002-06-01,96,80,0.02,,,E
2002-06-02,43,28,0.19,,,M
2002-06-03,81,52,0.05,,,E
2002-06-04,101,82,0.13,,,M
2002-06-05,105,76,0.01,,,E
2002-06-06,54,36,0.01,,,E
2002-06-07,50,39,0.01,,,E
2002-06-08,95,71,0.12,,,M
2002-06-09,108,102,0.07,0.03,,M
2002-06-10,72,65,0.0,,,X
2002-06-11,66,54,0.02,,,E
2002-06-12,39,25,0.27,,,X
2002-06-13,39,20,0.1,,,M
2002-06-14,92,71,0.08,0.1,,E
2002-06-15,104,95,0.09,,,M
2002-06-16,98,82,0.05,0.02,,E
