DATE,TMAX,TMIN,PRCP,SNOW,SNWD,QC_FLAG
2002-01-01,73,57,0.19,,,E
2002-01-02,108,91,0.03,0.13,,X
2002-01-03,106,91,0.02,,,X
2002-01-04,101,90,0.06,,,X
2002-01-05,53,42,0.21,,,M
2002-01-06,56,42,0.08,,,X
2002-01-07,103,78,0.25,,,X
2002-01-08,74,58,0.04,,,X
2002-01-09,82,71,0.03,,,X
2002-01-10,44,24,0.02,0.01,,M
2002-01-11,87,72,0.07,,,X
2002-01-12,108,85,0.38,,,E
2002-01-13,46,27,0.33,,,M
2002-01-14,97,68,0.1,,,M
2002-01-15,63,51,0.03,,,E
2002-01-16,42,35,,0.06,,E
2002-01-17,70,56,0.15,,,M
2002-01-18,53,38,0.0,,,E
2002-01-19,50,44,0.03,,,M
2002-01-20,70,44,0.2,,,E
2002-01-21,69,64,0.19,,,M
2002-01-22,104,88,0.15,,,
2002-01-23,34,24,0.04,,,X
2002-01-24,40,23,0.0,,,M
2002-01-25,93,85,,,,E
2002-01-26,65,51,0.23,,,M
2002-01-27,59,37,0.13,0.02,,X
2002-01-28,51,32,0.12,,,E
2002-01-29,47,33,0.12,,,X
2002-01-30,94,71,0.06,,,M
2002-01-31,64,55,,,,X
2002-02-01,38,25,0.04,,,M
2002-02-02,84,65,0.02,,,X
2002-02-03,100,88,0.0,,,X
2002-02-04,93,70,0.1,,,E
2002-02-05,56,27,0.02,,,X
2002-02-06,40,35,0.38,,,M
2002-02-07,53,46,0.08,,,E
2002-02-08,32,14,0.3,,,M
2002-02-09,80,60,0.01,,,X
2002-02-10,33,4,0.18,,,X
2002-02-11,71,49,0.06,,,
2002-02-12,78,62,0.05,,,
2002-02-13,58,33,,,,X
2002-02-14,44,35,0.14,,,
2002-02-15,53,35,0.11,,,M
2002-02-16,84,55,,0.01,,E
2002-02-17,51,45,0.01,,,X
2002-02-18,58,40,0.07,,,X
2002-02-19,91,73,0.09,,,M
2002-02-20,40,21,0.27,,,X
2002-02-21,56,32,0.08,,,X
2002-02-22,94,69,0.03,,,E
2002-02-23,84,63,0.33,,,X
2002-02-24,58,40,0.15,,,E
2002-02-25,104,92,0.18,,,E
2002-02-26,69,54,0.11,,,X
2002-02-27,61,43,0.02,,,X
2002-02-28,36,12,0.2,,,
2002-03-01,60,55,0.25,,,X
2002-03-02,44,39,0.19,,,X
2002-03-03,60,33,0.02,,,E
2002-03-04,83,60,0.22,,,M
2002-03-05,30,25,0.06,,,M
2002-03-06,81,75,0.05,0.0,,E
2002-03-07,77,50,0.04,,,X
2002-03-08,101,95,,,,X
2002-03-09,88,80,0.03,,,M
2002-03-10,86,79,0.45,,,E
