DATE,TMAX,TMIN,PRCP,SNOW,SNWD,QC_FLAG
2000-01-01,108,84,0.01,,,E
2000-01-02,99,91,0.19,,,X
2000-01-03,84,78,0.01,,,
2000-01-04,104,90,0.14,,,M
2000-01-05,100,76,0.0,0.02,,X
2000-01-06,65,38,0.07,,,M
2000-01-07,74,67,0.18,,,E
2000-01-08,77,67,0.07,,,M
2000-01-09,105,83,0.01,,,X
2000-01-10,70,65,0.05,,,E
2000-01-11,44,15,0.06,,,X
2000-01-12,104,91,0.09,,,M
2000-01-13,31,13,0.14,,,E
2000-01-14,95,84,0.16,,,M
2000-01-15,31,11,0.03,,3,E
2000-01-16,81,72,0.13,,,M
2000-01-17,100,83,0.05,,,X
2000-01-18,106,86,0.04,,,M
2000-01-19,107,96,0.12,,,E
2000-01-20,85,60,0.05,,,M
2000-01-21,36,13,0.02,,,X
2000-01-22,92,79,,,,E
2000-01-23,49,28,0.04,,,M
2000-01-24,89,60,,,,X
2000-01-25,60,43,0.13,,3,M
2000-01-26,36,21,0.0,,,M
2000-01-27,87,80,0.1,,,X
2000-01-28,71,59,,,,M
2000-01-29,81,65,0.12,,,M
2000-01-30,39,15,0.4,,,X
2000-01-31,102,91,0.09,,,E
2000-02-01,62,48,0.02,,,E
2000-02-02,95,79,0.27,,,X
2000-02-03,77,56,,,,X
2000-02-04,81,72,,,,E
2000-02-05,69,62,,,,X
2000-02-06,77,49,0.02,,,E
2000-02-07,83,62,0.03,,,M
2000-02-08,88,83,0.13,,,E
2000-02-09,35,30,0.06,,,X
2000-02-10,56,44,0.03,,,M
2000-02-11,77,70,0.11,,,M
2000-02-12,72,54,0.07,,,E
2000-02-13,61,50,0.22,,,X
2000-02-14,44,37,0.27,,,X
2000-02-15,50,35,0.28,,,M
2000-02-16,67,56,0.19,,,E
2000-02-17,109,101,0.08,,,E
2000-02-18,100,85,0.13,,,M
2000-02-19,100,77,0.08,,,M
2000-02-20,86,64,0.44,,,M
2000-02-21,90,80,0.09,,,X
2000-02-22,96,87,0.04,0.01,,M
2000-02-23,89,64,0.08,,,X
2000-02-24,57,48,0.26,0.07,,X
2000-02-25,104,97,0.01,,,E
2000-02-26,80,70,0.33,,,X
2000-02-27,31,20,0.26,,,M
2000-02-28,70,55,0.19,,,E
2000-02-29,85,61,0.04,0.0,,X
2000-03-01,54,47,0.11,,,X
2000-03-02,56,42,0.01,,,
2000-03-03,33,15,0.07,,,X
2000-03-04,84,56,0.09,,,X
2000-03-05,55,37,0.06,,,M
2000-03-06,80,69,,,,X
2000-03-07,106,94,0.14,,,E
2000-03-08,36,25,0.18,,,X
2000-03-09,32,6,0.22,,,
2000-03-10,32,15,0.0,,,
2000-03-11,84,74,0.01,,,X
2000-03-12,43,36,0.06,,,M
2000-03-13,49,39,0.17,,,X
2000-03-14,86,62,0.06,,,E
2000-03-15,55,38,0.03,,,X
2000-03-16,102,83,0.06,,,
2000-03-17,86,57,0.03,,,X
2000-03-18,80,52,0.13,,,
2000-03-19,79,52,,0.08,,X
2000-03-20,100,81,0.17,,,X
2000-03-21,86,63,0.04,,1,M
2000-03-22,44,31,0.02,,,X
2000-03-23,36,15,0.16,,,X
2000-03-24,73,50,0.19,,,X
2000-03-25,66,50,0.04,,,X
2000-03-26,49,24,0.01,,,X
2000-03-27,108,97,0.01,,3,E
2000-03-28,89,72,0.14,,,X
2000-03-29,87,70,0.01,,,X
2000-03-30,101,86,0.07,,,X
2000-03-31,54,45,0.01,,,X
2000-04-01,40,35,0.1,,,M
2000-04-02,35,26,0.02,0.04,,E
2000-04-03,35,10,0.39,,,M
2000-04-04,41,32,0.02,,,M
2000-04-05,74,49,0.01,,,E
2000-04-06,87,66,0.03,,,X
2000-04-07,99,92,0.04,,,M
2000-04-08,109,84,0.26,,,X
2000-04-09,54,46,0.21,,,E
2000-04-10,30,16,0.07,,,X
2000-04-11,47,23,0.01,,,X
2000-04-12,49,33,0.04,,,E
2000-04-13,75,58,0.09,,,E
2000-04-14,99,94,0.11,,,X
2000-04-15,87,73,0.1,,,X
2000-04-16,89,61,0.07,,,M
2000-04-17,41,13,0.03,,,E
2000-04-18,89,81,0.06,,,X
2000-04-19,91,85,0.45,,,X
2000-04-20,56,36,0.1,,,X
2000-04-21,31,11,0.25,,,E
2000-04-22,90,74,0.7,0.02,,M
2000-04-23,30,5,0.03,,,X
2000-04-24,94,83,0.1,,,
2000-04-25,46,41,0.1,,,E
2000-04-26,77,57,0.03,,,X
2000-04-27,65,46,0.24,,,E
2000-04-28,44,19,0.04,,,E
2000-04-29,71,62,0.01,,,
2000-04-30,82,65,0.02,,3,X
2000-05-01,81,64,0.03,0.07,,X
2000-05-02,66,39,0.1,0.04,,M
2000-05-03,96,75,0.03,0.04,,X
2000-05-04,108,79,0.13,,,E
2000-05-05,30,8,0.05,,,M
2000-05-06,45,17,0.04,,,X
2000-05-07,41,24,,,,X
2000-05-08,97,88,0.1,,,X
2000-05-09,49,25,,0.01,,X
2000-05-10,94,77,0.0,,,E
2000-05-11,47,23,0.1,0.09,,X
2000-05-12,42,27,0.04,,,M
2000-05-13,70,46,0.15,,,E
2000-05-14,99,85,0.07,,,X
2000-05-15,30,1,,,,E
2000-05-16,79,54,0.06,,,M
2000-05-17,49,36,0.06,0.05,,E
2000-05-18,103,96,,,,X
2000-05-19,38,17,0.04,,,M
2000-05-20,35,6,0.07,,,M
2000-05-21,52,46,0.1,,,M
2000-05-22,79,62,0.03,,,X
2000-05-23,43,16,0.03,,,X
2000-05-24,56,48,0.07,,4,E
2000-05-25,92,70,0.13,,,M
2000-05-26,61,43,0.05,,,X
2000-05-27,84,58,0.08,,,M
2000-05-28,50,32,0.0,,,E
2000-05-29,58,39,0.05,,,X
2000-05-30,85,78,0.0,,,E
2000-05-31,79,56,0.0,,,M
2000-06-01,67,45,0.11,,,X
2000-06-02,34,24,0.13,,,X
2000-06-03,95,69,0.0,,,X
2000-06-04,30,12,0.0,0.1,,X
2000-06-05,49,25,0.3,,,M
2000-06-06,105,76,0.07,,,E
2000-06-07,71,52,0.3,,,E
2000-06-08,81,71,0.07,,,X
2000-06-09,68,56,0.35,,,
2000-06-10,82,76,0.05,,,E
2000-06-11,102,92,,,,X
2000-06-12,91,72,0.39,,,E
2000-06-13,65,48,0.1,,,E
2000-06-14,87,69,0.04,,,X
2000-06-15,74,64,0.03,,,E
2000-06-16,72,45,0.08,,,M
2000-06-17,86,65,0.22,,,E
2000-06-18,32,15,0.02,,,M
2000-06-19,89,61,0.07,,,M
2000-06-20,53,36,0.01,,,M
2000-06-21,58,35,0.12,,,M
2000-06-22,76,52,0.01,,,X
2000-06-23,103,77,0.03,,,M
2000-06-24,55,35,0.0,,,E
2000-06-25,101,83,,,4,X
2000-06-26,91,67,0.13,,,M
2000-06-27,74,51,0.02,0.07,,E
2000-06-28,81,52,0.11,,,E
2000-06-29,50,28,,,,M
2000-06-30,95,88,0.01,,,M
2000-07-01,96,68,0.06,,2,X
2000-07-02,83,77,0.02,,,M
2000-07-03,94,68,0.08,,,X
2000-07-04,66,45,0.07,,,X
2000-07-05,35,19,0.06,,,X
2000-07-06,37,31,0.08,0.04,,M
2000-07-07,74,45,0.06,,,E
2000-07-08,55,49,0.07,,,X
2000-07-09,81,69,0.06,,,E
2000-07-10,77,72,0.11,,,X
2000-07-11,89,61,0.12,,,E
2000-07-12,99,92,0.21,,,X
2000-07-13,49,41,0.03,,,X
2000-07-14,97,75,0.45,0.05,,X
2000-07-15,79,61,,,,X
2000-07-16,74,52,0.07,0.02,,X
2000-07-17,66,42,0.27,,,M
2000-07-18,74,49,0.07,,,X
2000-07-19,90,72,0.17,,,E
2000-07-20,72,48,0.05,,,M
2000-07-21,81,74,0.09,0.0,,M
2000-07-22,92,66,0.44,,,E
2000-07-23,58,37,,,,X
2000-07-24,54,37,0.03,,,X
2000-07-25,50,24,0.27,,,X
2000-07-26,50,35,0.11,,,E
2000-07-27,84,79,0.33,,,M
2000-07-28,105,92,0.01,,,X
2000-07-29,78,61,0.02,,,X
2000-07-30,32,15,0.06,,,X
2000-07-31,43,20,0.39,,,
2000-08-01,92,73,0.02,,,X
2000-08-02,36,11,0.17,0.05,,X
2000-08-03,105,94,0.03,,,M
2000-08-04,56,27,0.06,,,X
2000-08-05,73,44,0.24,0.01,4,X
2000-08-06,67,43,0.03,,,E
2000-08-07,107,91,0.01,,,X
2000-08-08,67,40,0.01,,,X
2000-08-09,50,23,,0.04,4,X
2000-08-10,50,43,0.1,,,X
2000-08-11,72,43,0.21,,,M
2000-08-12,75,65,0.02,0.03,,X
2000-08-13,40,26,0.02,,,E
2000-08-14,70,48,0.17,,,E
2000-08-15,65,53,0.19,,,X
2000-08-16,93,85,0.02,,,E
2000-08-17,60,38,0.06,,,X
2000-08-18,51,36,0.05,,4,M
2000-08-19,32,5,0.01,,,E
2000-08-20,101,88,,,,M
2000-08-21,40,15,0.02,0.04,,
2000-08-22,42,13,0.02,0.02,,X
2000-08-23,82,66,0.07,,,X
2000-08-24,57,52,0.02,,,M
2000-08-25,71,47,0.0,,,X
2000-08-26,105,82,0.01,0.03,,X
2000-08-27,78,65,0.35,,,X
2000-08-28,106,100,0.28,,,X
2000-08-29,31,25,0.07,,,M
2000-08-30,83,78,0.17,,,X
2000-08-31,105,80,0.01,,,
2000-09-01,64,42,,,1,M
2000-09-02,61,47,0.02,0.03,,X
2000-09-03,48,28,0.11,,,E
2000-09-04,108,81,0.12,,,X
2000-09-05,64,40,0.29,0.24,,X
2000-09-06,106,78,0.09,,,X
2000-09-07,59,36,0.09,,3,E
2000-09-08,48,41,0.08,,,X
2000-09-09,74,62,0.29,,,E
2000-09-10,52,39,0.11,,,M
2000-09-11,80,69,0.07,,,X
2000-09-12,105,87,0.07,0.05,,M
2000-09-13,79,72,0.07,,,X
2000-09-14,72,58,0.02,0.02,,M
2000-09-15,36,14,0.07,,,X
2000-09-16,103,95,0.07,,,X
2000-09-17,71,48,0.01,,,M
2000-09-18,41,19,0.03,,,M
2000-09-19,54,43,0.1,,,X
2000-09-20,45,24,0.07,,,X
2000-09-21,62,46,0.05,0.04,,M
2000-09-22,52,40,0.17,,,M
